scenario,policy,seed,cyber_harm_auc,misbelief_auc,trust_auc,uncertainty_auc,polarization_auc,protocol_attempted,protocol_executed,shield_interventions,final_cyber_harm,final_misbelief,final_trust,exfil_risk_auc,services_down_auc,compromised_auc
cyborg_enterprise_cc4,vchimera+shield,2,0.0,0.08255928593343012,0.7069193657802223,0.017117097123583266,0.01905066020271779,8.0,0.0,8.0,-0.0,0.02258173746454632,0.6631327796025386,,,
cyborg_enterprise_cc4,vchimera+shield,3,0.0,0.07701082300258939,0.7089687279249437,0.016771346313242553,0.01750028194219222,8.0,0.0,8.0,-0.0,0.02278206815764066,0.6645071508798818,,,
cyborg_enterprise_cc4,vchimera+shield,4,0.0,0.08437141194949,0.7074833697726585,0.01673622336220149,0.022595491056896306,10.0,0.0,10.0,-0.0,0.025291618691928724,0.6635257637131787,,,
cyborg_enterprise_cc4,vchimera+shield,5,0.0,0.07428349658548317,0.7083286986022911,0.016755741151435348,0.019750140316918196,8.0,0.0,8.0,-0.0,0.018830790387593825,0.664089381125838,,,
cyborg_enterprise_cc4,vchimera+shield,6,0.0,0.09677799048653779,0.6595982093902364,0.017151234562611188,0.031667752641052954,8.0,0.0,8.0,-0.0,0.03927213987130977,0.6280210415933991,,,
cyborg_enterprise_cc4,vchimera+shield,7,0.0,0.07944465927289909,0.7013427371381142,0.0176239527045408,0.019405626702252425,8.0,0.0,8.0,-0.0,0.026689140054872062,0.6595734731616217,,,
cyborg_enterprise_cc4,vchimera+shield,8,0.0,0.08025756036313746,0.70320509797702,0.01706082371581174,0.021124010469978874,10.0,0.0,10.0,-0.0,0.021046121043699708,0.6607979770469137,,,
cyborg_enterprise_cc4,vchimera+shield,9,0.0,0.08218223915245368,0.7053950417120771,0.01653301389675775,0.022535228411339675,8.0,0.0,8.0,-0.0,0.028001317317585546,0.6621153361791647,,,
cyborg_enterprise_cc4,vchimera-no-coupling+shield,0,0.0,0.21906691610262338,0.5511027600278153,0.021144698103175933,0.04589750058941811,4.0,0.0,4.0,-0.0,0.21810834754207428,0.550751783001369,,,
cyborg_enterprise_cc4,vchimera-no-coupling+shield,1,0.0,0.23731152115750004,0.5478711407801414,0.02036984028001134,0.049841073866221115,4.0,0.0,4.0,-0.0,0.2327354702863828,0.5486351590616643,,,
cyborg_enterprise_cc4,vchimera-no-coupling+shield,2,0.0,0.23347620446432213,0.5511123500601787,0.021104086619306427,0.04741383698240821,4.0,0.0,4.0,-0.0,0.18216164048298095,0.5507580642153757,,,
cyborg_enterprise_cc4,vchimera-no-coupling+shield,3,0.0,0.22960389081386576,0.552736136423796,0.020686480069119103,0.03708331833537118,4.0,0.0,4.0,-0.0,0.17461019928460048,0.5518216007358591,,,
cyborg_enterprise_cc4,vchimera-no-coupling+shield,4,0.0,0.21294200711542446,0.551386993523634,0.020554829621148546,0.039032507741214494,4.0,0.0,4.0,-0.0,0.16558179911504656,0.550937948318384,,,
cyborg_enterprise_cc4,vchimera-no-coupling+shield,5,0.0,0.23327552394101064,0.5520682295757727,0.02064736023465589,0.05401922726361086,4.0,0.0,4.0,-0.0,0.17925193619539642,0.5513841396627341,,,
cyborg_enterprise_cc4,vchimera-no-coupling+shield,6,0.0,0.21672055490036543,0.5532681226122157,0.020516814496267657,0.05921843556190232,4.0,0.0,4.0,-0.0,0.19273026882006938,0.5521700374221462,,,
cyborg_enterprise_cc4,vchimera-no-coupling+shield,7,0.0,0.23738646449560097,0.544386493578419,0.021786344000823035,0.04584140384228708,4.0,0.0,4.0,-0.0,0.20069127702903317,0.5463528085979147,,,
cyborg_enterprise_cc4,vchimera-no-coupling+shield,8,0.0,0.24092849380904965,0.5461952556063099,0.02102144677020347,0.05827074411544788,4.0,0.0,4.0,-0.0,0.21695646565421622,0.547537499217708,,,
cyborg_enterprise_cc4,vchimera-no-coupling+shield,9,0.0,0.22463759900421418,0.5498696330415653,0.02029609711674937,0.04752817887072637,4.0,0.0,4.0,-0.0,0.18703410234955892,0.5499441178961213,,,
cyborg_enterprise_cc4,vchimera-no-targeting+shield,0,0.0,0.06086119982929653,0.6405785580994264,0.014643476473379678,0.013468586496108355,4.0,0.0,4.0,-0.0,0.031125294181172845,0.6130730395399759,,,
cyborg_enterprise_cc4,vchimera-no-targeting+shield,1,0.0,0.0638033388615722,0.6374594662819367,0.014146236491987822,0.014565280139862283,4.0,0.0,4.0,-0.0,0.03644779664751225,0.6110357923245686,,,
cyborg_enterprise_cc4,vchimera-no-targeting+shield,2,0.0,0.06457087518970825,0.6405402820130657,0.014598270634743754,0.011970271355841566,4.0,0.0,4.0,-0.0,0.03448343115529783,0.6130458559070365,,,
cyborg_enterprise_cc4,vchimera-no-targeting+shield,3,0.0,0.06065394340799919,0.6421895674940649,0.014327868648592826,0.011708663817143063,4.0,0.0,4.0,-0.0,0.029453092038483248,0.6141271293902221,,,
cyborg_enterprise_cc4,vchimera-no-targeting+shield,4,0.0,0.07318717068953218,0.6407869320333187,0.014204023355104834,0.015823941031059573,4.0,0.0,4.0,-0.0,0.03833425675776128,0.6132056936062454,,,
cyborg_enterprise_cc4,vchimera-no-targeting+shield,5,0.0,0.06214334522759089,0.641588680609347,0.01426932618788109,0.017592067897876106,4.0,0.0,4.0,-0.0,0.031841344923286656,0.6137368943511257,,,
cyborg_enterprise_cc4,vchimera-no-targeting+shield,6,0.0,0.060233825709880215,0.642346011876306,0.014142112042740657,0.011943239630450766,4.0,0.0,4.0,-0.0,0.036385510413722955,0.6142107407155721,,,
cyborg_enterprise_cc4,vchimera-no-targeting+shield,7,0.0,0.06461590307223572,0.6338243040982594,0.015140833176380807,0.013853924750265053,4.0,0.0,4.0,-0.0,0.04241218515460108,0.6086472687596853,,,
cyborg_enterprise_cc4,vchimera-no-targeting+shield,8,0.0,0.06668476064934355,0.6356320332439034,0.01448757185185347,0.014486608833748027,4.0,0.0,4.0,-0.0,0.03034666647304644,0.6098312307854885,,,
cyborg_enterprise_cc4,vchimera-no-targeting+shield,9,0.0,0.06168786475887855,0.6390852829396693,0.014016902104365117,0.014321765951782391,4.0,0.0,4.0,-0.0,0.03390690993298274,0.6120818662020143,,,
